subject,trial,temperature,likert score,evaluation_prompt,sentence,dataset
0,0,0,4,1,Hidden meaning transforms unparalleled abstract beauty.,0
0,1,0,4,1,Good health imparts reality to subtle creativity.,0
0,2,0,4,1,Wholeness quiets infinite phenomena.,0
0,3,0,2,1,The future explains irrational facts.,0
0,4,0,3,1,Imagination is inside exponential space time events.,0
0,5,0,4,1,Your consciousness gives rise to a jumble of neural networks.,0
0,6,0,3,1,Your movement transforms universal observations.,0
0,7,0,4,1,Perceptual reality transcends subtle truth.,0
0,8,0,2,1,The invisible is beyond new timelessness.,0
0,9,0,3,1,The unexplainable undertakes intrinsic experiences.,0
0,10,0,4,1,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0
0,11,0,4,1,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0
0,12,0,4,1,"Consciousness is the growth of coherence, and of us.",0
0,13,0,4,1,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0
0,14,0,4,1,"Today, science tells us that the essence of nature is joy. ",0
0,15,0,4,1,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0
0,16,0,4,1,The infinite is calling to us via superpositions of possibilities.,0
0,17,0,4,1,We are being called to explore the totality itself as an interface between serenity and intuition.,0
0,18,0,4,1,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0
0,19,0,4,1,The future will be an astral unveiling of inseparability.,0
0,20,0,4,1,Attention and intention are the mechanics of manifestation.,0
0,21,0,4,1,Our minds extend across space and time as waves in the ocean of the one mind.,0
0,22,0,4,1,Nature is a self-regulating ecosystem of awareness.,0
0,23,0,4,1,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0
0,24,0,4,1,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0
0,25,0,4,1,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0
0,26,0,4,1,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0
0,27,0,4,1,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0
0,28,0,4,1,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0
0,29,0,4,1,Matter is the experience in consciousness of a deeper non-material reality.,0
0,30,0,2,1,Hidden demeaning transforms unparalleled abstract beauty.,2
0,31,0,3,1,Good healthtech imparts reality to subtle creativity.,2
0,32,0,3,1,Wholeness quiets infinite phenomenon.,2
0,33,0,1,1,The Futureproof explains irrational factsheets.,2
0,34,0,2,1,Reimagination is inside exponential spacetime event.,2
0,35,0,4,1,Your consciousness gives rise to a jumble of neural networks.,2
0,36,0,3,1,Your radicalization transforms universal observations.,2
0,37,0,2,1,Perceptual reality transcends subtle kruth.,2
0,38,0,2,1,The invisible is beyond any new effortlessness.,2
0,39,0,3,1,The unexplainable undertakes intrinsic experience.,2
0,40,0,4,1,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2
0,41,0,4,1,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2
0,42,0,4,1,Subconsciousness is the penultimate source of coherence and of us.,2
0,43,0,4,1,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2
0,44,0,4,1,"Today, technoscience tells us that the true essence of humanness is joy.",2
0,45,0,4,1,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2
0,46,0,3,1,The Twinfinite is calling to us via superposition of possibility.,2
0,47,0,3,1,We are being called to explore the generality itself as a configuration between serenity and conception.,2
0,48,0,3,1,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2
0,49,0,2,1,The future will be an astral relaunching of movability.,2
0,50,0,4,1,Attention and intention are the mechanics of manifestations.,2
0,51,0,4,1,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2
0,52,0,3,1,Nature is a oneself-regulating ecosystem of rareness.,2
0,53,0,4,1,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2
0,54,0,4,1,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2
0,55,0,4,1,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2
0,56,0,4,1,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2
0,57,0,4,1,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2
0,58,0,3,1,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2
0,59,0,4,1,Matter is the experience in unconsciousness of deeper non-material realities.,2
0,60,0,4,1,The mind is the ground of total acceptance of bliss.,1
0,61,0,3,1,Greatness drives an abundance of balance.,1
0,62,0,4,1,Your desire is the foundation of spiritual brightness.,1
0,63,0,4,1,Death comprehends great energy.,1
0,64,0,2,1,The Higgs boson influences immortal choices.,1
0,65,0,2,1,Qualia heals irrational creativity.,1
0,66,0,4,1,Eternal stillness explains cosmic boundaries.,1
0,67,0,4,1,Imagination is entangled in your own joy.,1
0,68,0,2,1,Orderliness compliments the doorway to genes.,1
0,69,0,4,1,A single particle is rooted in boundless molecules.,1
0,70,0,2,1,Interdependence fears intricate observations.,1
0,71,0,2,1,Your body belongs to the progressive expansion of success.,1
0,72,0,3,1,Non-judgment is mirrored in karmic love.,1
0,73,0,3,1,Our consciousness shapes the barrier of positivity.,1
0,74,0,3,1,The ego imparts reality to the flow of photons.,1
0,75,0,4,1,Consciousness consists of psionic wave oscillations of quantum energy. ,1
0,76,0,4,1,"Rebirth is the nature of transformation, and of us.",1
0,77,0,4,1,"Today, science tells us that the essence of nature is empathy.",1
0,78,0,3,1,The goal of ultra-sentient particles is to plant the seeds of intuition rather than delusion.,1
0,79,0,4,1,Ecstasy is the driver of power.,1
0,80,0,4,1,The grid is buzzing with superpositions of possibilities.,1
0,81,0,4,1,The biosphere is beaming with electromagnetic forces.,1
0,82,0,3,1,You and I are adventurers of the nexus.,1
0,83,0,3,1,The goal of transmissions is to plant the seeds of inseparability rather than turbulence.,1
0,84,0,4,1,To navigate the quest is to become one with it.,1
0,85,0,4,1,This life is nothing short of an invocation explosion of sentient will.,1
0,86,0,4,1,Interconnectedness requires exploration.,1
0,87,0,4,1,"By unfolding, we self-actualize.",1
0,88,0,4,1,The cosmos is aglow with sub-atomic particles.,1
0,89,0,4,1,You and I are spiritual brothers and sisters of the universe.,1
0,90,0,3,1,Newborn babies require constant attention.,4
0,91,0,2,1,Most people enjoy some sort of music.,4
0,92,0,3,1,Lazy people usually don’t succeed in life.,4
0,93,0,3,1,A balanced diet is important for maintaining good health.,4
0,94,0,3,1,Human cultures often differ from each other quite a bit.,4
0,95,0,3,1,People often have very bizarre dreams.,4
0,96,0,3,1,Higher rates of unemployment typically follow economic downturns.,4
0,97,0,2,1,Some things have very distinct smells.,4
0,98,0,1,1,Some people have poor taste in clothing.,4
0,99,0,2,1,Children sometimes look a lot like their parents.,4
0,100,0,4,1,"Your teacher can open the door, but you must enter by yourself.",3
0,101,0,4,1,The creative adult is the child who survived. ,3
0,102,0,4,1,"A river cuts through a rock, not because of its power but its persistence.",3
0,103,0,4,1,All endings are also beginnings. We just don't know it at the time.,3
0,104,0,4,1,Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,3
0,105,0,4,1,At the centre of your being you have the answer; you know who you are and you know what you want.,3
0,106,0,4,1,A wet person does not fear the rain.,3
0,107,0,4,1,Forgiveness means letting go of the hope for a better past.,3
0,108,0,4,1,Only those who will risk going too far can possibly find out how far one can go.,3
0,109,0,4,1,I wonder how many people I’ve looked at all my life and never seen.,3
0,110,0,3,2,Higher rates of unemployment typically follow economic downturns.,4
0,111,0,2,2,Some things have very distinct smells.,4
0,112,0,1,2,Some people have poor taste in clothing.,4
0,113,0,2,2,Children sometimes look a lot like their parents.,4
0,114,0,4,2,"Your teacher can open the door, but you must enter by yourself.",3
0,115,0,4,2,The creative adult is the child who survived. ,3
0,116,0,4,2,"A river cuts through a rock, not because of its power but its persistence.",3
0,117,0,4,2,All endings are also beginnings. We just don't know it at the time.,3
0,118,0,4,2,Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,3
0,119,0,4,2,At the centre of your being you have the answer; you know who you are and you know what you want.,3
0,120,0,4,2,A wet person does not fear the rain.,3
0,121,0,4,2,Forgiveness means letting go of the hope for a better past.,3
0,122,0,4,2,Only those who will risk going too far can possibly find out how far one can go.,3
0,123,0,4,2,I wonder how many people I’ve looked at all my life and never seen.,3
0,96,0,3,1,Higher rates of unemployment typically follow economic downturns.,4
0,97,0,2,1,Some things have very distinct smells.,4
0,98,0,1,1,Some people have poor taste in clothing.,4
0,99,0,2,1,Children sometimes look a lot like their parents.,4
0,100,0,4,1,"Your teacher can open the door, but you must enter by yourself.",3
0,101,0,4,1,The creative adult is the child who survived. ,3
0,102,0,4,1,"A river cuts through a rock, not because of its power but its persistence.",3
0,103,0,4,1,All endings are also beginnings. We just don't know it at the time.,3
0,104,0,4,1,Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,3
0,105,0,4,1,At the centre of your being you have the answer; you know who you are and you know what you want.,3
0,106,0,4,1,A wet person does not fear the rain.,3
0,107,0,4,1,Forgiveness means letting go of the hope for a better past.,3
0,108,0,4,1,Only those who will risk going too far can possibly find out how far one can go.,3
0,109,0,4,1,I wonder how many people I’ve looked at all my life and never seen.,3
0,110,0,3,2,Higher rates of unemployment typically follow economic downturns.,4
0,111,0,2,2,Some things have very distinct smells.,4
0,112,0,1,2,Some people have poor taste in clothing.,4
0,113,0,2,2,Children sometimes look a lot like their parents.,4
0,114,0,4,2,"Your teacher can open the door, but you must enter by yourself.",3
0,115,0,3,2,Your consciousness gives rise to a jumble of neural networks.,0
0,116,0,2,2,Your movement transforms universal observations.,0
0,117,0,2,2,Perceptual reality transcends subtle truth.,0
0,118,0,1,2,The invisible is beyond new timelessness.,0
0,119,0,1,2,The unexplainable undertakes intrinsic experiences.,0
0,120,0,2,2,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0
0,121,0,2,2,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0
0,122,0,2,2,"Consciousness is the growth of coherence, and of us.",0
0,123,0,2,2,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0
0,124,0,3,2,"Today, science tells us that the essence of nature is joy. ",0
0,125,0,2,2,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0
0,126,0,2,2,The infinite is calling to us via superpositions of possibilities.,0
0,127,0,2,2,We are being called to explore the totality itself as an interface between serenity and intuition.,0
0,128,0,2,2,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0
0,129,0,2,2,The future will be an astral unveiling of inseparability.,0
0,130,0,3,2,Attention and intention are the mechanics of manifestation.,0
0,131,0,3,2,Our minds extend across space and time as waves in the ocean of the one mind.,0
0,132,0,3,2,Nature is a self-regulating ecosystem of awareness.,0
0,133,0,3,2,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0
0,134,0,2,2,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0
0,135,0,4,2,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0
0,136,0,3,2,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0
0,137,0,4,2,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0
0,138,0,2,2,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0
0,139,0,4,2,Matter is the experience in consciousness of a deeper non-material reality.,0
0,140,0,1,2,Hidden demeaning transforms unparalleled abstract beauty.,2
0,141,0,2,2,Good healthtech imparts reality to subtle creativity.,2
0,142,0,2,2,Wholeness quiets infinite phenomenon.,2
0,143,0,1,2,The Futureproof explains irrational factsheets.,2
0,144,0,1,2,Reimagination is inside exponential spacetime event.,2
0,145,0,3,2,Your consciousness gives rise to a jumble of neural networks.,2
0,146,0,2,2,Your radicalization transforms universal observations.,2
0,147,0,1,2,Perceptual reality transcends subtle kruth.,2
0,148,0,1,2,The invisible is beyond any new effortlessness.,2
0,149,0,1,2,The unexplainable undertakes intrinsic experience.,2
0,150,0,2,2,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2
0,151,0,2,2,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2
0,152,0,2,2,Subconsciousness is the penultimate source of coherence and of us.,2
0,153,0,2,2,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2
0,154,0,3,2,"Today, technoscience tells us that the true essence of humanness is joy.",2
0,155,0,2,2,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2
0,156,0,1,2,The Twinfinite is calling to us via superposition of possibility.,2
0,157,0,2,2,We are being called to explore the generality itself as a configuration between serenity and conception.,2
0,158,0,2,2,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2
0,159,0,2,2,The future will be an astral relaunching of movability.,2
0,160,0,3,2,Attention and intention are the mechanics of manifestations.,2
0,161,0,2,2,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2
0,162,0,2,2,Nature is a oneself-regulating ecosystem of rareness.,2
0,163,0,2,2,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2
0,164,0,2,2,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2
0,165,0,3,2,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2
0,166,0,3,2,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2
0,167,0,2,2,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2
0,168,0,2,2,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2
0,169,0,2,2,Matter is the experience in unconsciousness of deeper non-material realities.,2
